suggested_org_name,website_url,domain,source_method,confidence,recurring_event_count,sample_events,venues,review_note
Manchester Frontrunners,https://www.manchesterfrontrunners.org/thursday-run,manchesterfrontrunners.org,domain,high,3,Mixed-terrain Run - Manchester Frontrunners | Track Run - Manchester Frontrunners | Urban Run - Manchester Frontrunners,Longford Park Car Park | Manchester Regional Arena | Sugden Sports Centre,Check and merge duplicates before importing organizations.
Open Mic Cabaret with Live Piano,https://www.socialrefuge.com/event-list,socialrefuge.com,domain,high,2,Open Mic Cabaret with Live Piano | Run with Pride,Social Refuge,Check and merge duplicates before importing organizations.
Village Spartans,https://linktr.ee/villagespartans,linktr.ee,domain,high,2,Rugby Union - Village Spartans | Touch Rugby - Village Spartans,Sale Sports Club,Check and merge duplicates before importing organizations.
Club Locked,http://clublocked.com,clublocked.com,domain,medium,1,Club Locked,The Eagle,Check and merge duplicates before importing organizations.
Gay City Bowlers,https://gaycitybowlers.com,gaycitybowlers.com,domain,medium,1,Gay City Bowlers,Lane7 | Roxy Ballroom,Check and merge duplicates before importing organizations.
Kiki Family,,meetup.com,event_name,low,1,Kiki Family: Weekly Queer Meet-up,Fairfield Social Club,Check and merge duplicates before importing organizations.
Leather Social,https://manchesterleathermen.com,manchesterleathermen.com,domain,medium,1,Leather Social,The Eagle,Check and merge duplicates before importing organizations.
Manchester Prairie Dogs,http://www.manchesterprairiedogs.co.uk,manchesterprairiedogs.co.uk,domain,medium,1,Manchester Prairie Dogs,The Thompsons Arms,Check and merge duplicates before importing organizations.
Manchester Proud Chorus,https://www.manchesterproudchorus.org,manchesterproudchorus.org,domain,medium,1,Manchester Proud Chorus,Hallé at St Michael’s,Check and merge duplicates before importing organizations.
Northern Cocks Badminton,https://ncbadminton.co.uk,ncbadminton.co.uk,domain,medium,1,Northern Cocks Badminton,Moss Side Leisure Centre | National Cycling Centre,Check and merge duplicates before importing organizations.
Outdoor Lads,https://www.outdoorlads.com/events?event_type%5B13%5D=13&region%5B51%5D=51&location_proximity_center%5Bcoordinates%5D%5Blat%5D=&location_proximity_center%5Bcoordinates%5D%5Blng%5D=&location_proximity_center%5Bgeocoder%5D%5Bgeolocation_geocoder_address%5D=&location_proximity=0&start_date=2025-09-11&end_date=,outdoorlads.com,domain,medium,1,Bouldering - Outdoor Lads,Rock Over Climbing,Check and merge duplicates before importing organizations.
Queer Bachata Class and Social,,eventbrite.com,event_name,low,1,Queer Bachata Class and Social,Terrace NQ,Check and merge duplicates before importing organizations.
Queer Co-working,,eventbrite.co.uk,event_name,low,1,Queer Co-working,Seesaw | The Proud Place,Check and merge duplicates before importing organizations.
Rainbow Noir QITPoC Social,https://www.rainbownoirmcr.com,rainbownoirmcr.com,domain,medium,1,Rainbow Noir QITPoC Social,The Proud Place,Check and merge duplicates before importing organizations.
The Gay Gordons,https://www.gay-gordons-manchester.co.uk/index.html,gay-gordons-manchester.co.uk,domain,medium,1,Scottish Dancing - The Gay Gordons,The Thompson’s Arms,Check and merge duplicates before importing organizations.
The Sunday Boys,,,event_name,low,1,The Sunday Boys,Hallé St Michaels,Check and merge duplicates before importing organizations.
Trans Climbing Manchester,,instagram.com,event_name,low,1,Trans Climbing Manchester,Rock Over Climbing,Check and merge duplicates before importing organizations.
